Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
255,0.5,1.625,0,-0.07763672,-0.09326172,1.013672,0.1523438,-0.02392578,-0.5126953
257,0.1875,1.3125,0,-0.05419922,-0.08544922,1.013672,0.1523438,-0.02392578,-0.5126953
258,0.3125,2,-0.4375,-0.05419922,-0.06591797,0.9907227,0.1435547,-0.01513672,-0.5102539
260,0.5625,2.125,-0.25,-0.05419922,-0.09716797,1.001953,0.1435547,-0.01513672,-0.5102539
261,0.3125,2.4375,-0.75,-0.06591797,-0.09326172,0.9985352,0.1435547,-0.01513672,-0.5102539
263,0.5,2.6875,-0.3125,-0.06201172,-0.06982422,0.9829102,0.1435547,-0.01513672,-0.5102539
264,0.5625,2.875,-0.125,-0.05029297,-0.07763672,0.9985352,0.1435547,-0.01513672,-0.5102539
266,0.6875,2.375,-0.25,-0.05810547,-0.07373047,1.005859,0.1435547,-0.01513672,-0.5102539
267,1.5625,2.6875,-0.375,-0.06201172,-0.09326172,0.9868164,0.1435547,-0.01513672,-0.5102539
269,1.6875,2.4375,0.25,-0.05419922,-0.1010742,0.9790039,0.1459961,-0.01953125,-0.4960938
270,1.5625,2.9375,0.375,-0.07373047,-0.09326172,0.9907227,0.1459961,-0.01953125,-0.4960938
272,1.0625,2.5625,0.5625,-0.04638672,-0.09326172,0.9946289,0.1459961,-0.01953125,-0.4960938
273,-0.875,2.125,0.625,-0.04638672,-0.08544922,1.005859,0.1459961,-0.02832031,-0.5078125
275,-0.8125,1.375,-0.4375,-0.06591797,-0.05419922,0.9711914,0.1459961,-0.02832031,-0.5078125
276,-0.6875,1.5,-0.25,-0.05810547,-0.06201172,1.009766,0.1459961,-0.02832031,-0.5078125
278,0.3125,2.75,0,-0.05810547,-0.06591797,0.9946289,0.1503906,-0.01953125,-0.4985352
279,0.8125,2.9375,0.125,-0.07373047,-0.06982422,1.025391,0.1503906,-0.01953125,-0.4985352
281,1.5,3.9375,1.6875,-0.05029297,-0.06591797,1.005859,0.1503906,-0.01953125,-0.4985352
282,2.1875,4.375,1.8125,-0.04638672,-0.06982422,1.017578,0.1503906,-0.01953125,-0.4985352
284,2.125,5.0625,1.6875,-0.05419922,-0.08544922,0.9985352,0.1479492,-0.01953125,-0.5004883
285,1.9375,5.375,1.75,-0.04638672,-0.08154297,0.9790039,0.1479492,-0.01953125,-0.5004883
287,1.4375,5.375,2.75,-0.06591797,-0.06591797,0.9868164,0.1479492,-0.01953125,-0.5004883
288,1.0625,4.75,2.625,-0.05029297,-0.07763672,0.9985352,0.1503906,-0.01708984,-0.4960938
