Roll | phi | X (deg), Pitch | theta | Y (deg), Yaw | psi | Z (deg)
29.43765,0.8747485,1.914846
30.26291,0.8031932,1.343908
31.21415,0.65087,0.8027337
32.23176,0.4466899,0.3438399
33.36687,0.258241,-0.05768507
34.50731,0.07207145,-0.4207028
35.56559,-0.1079598,-0.7397737
36.50583,-0.2277077,-1.006778
37.43266,-0.2801216,-1.287562
38.29045,-0.3463587,-1.593652
39.0638,-0.3642322,-1.891847
39.78914,-0.2896496,-2.180164
40.47361,-0.1230037,-2.457012
41.13961,0.09892147,-2.742212
41.73339,0.3345632,-3.027831
42.28524,0.5458015,-3.272826
42.8335,0.7129241,-3.45507
43.38708,0.851531,-3.587632
43.89338,0.9456211,-3.684343
44.36996,0.9488548,-3.715607
44.78016,0.8475485,-3.69116
45.19398,0.6775971,-3.639262
45.57836,0.4870111,-3.596884
45.9519,0.3284269,-3.561118
46.30337,0.1656972,-3.554469
46.62387,-0.006285974,-3.556125
46.89238,-0.1777414,-3.519746
47.09594,-0.2753414,-3.439345
47.28532,-0.2732809,-3.326827
47.52621,-0.2093102,-3.187646
47.83073,-0.1172035,-3.005658
48.33598,-0.0307034,-2.82758
49.01997,0.04767812,-2.684343
49.71036,0.11697,-2.582298
50.38359,0.1785041,-2.540399
50.98765,0.172659,-2.564093
51.51017,0.1002565,-2.646584
52.01867,0.02781975,-2.776708
52.48365,0.0135466,-2.867162
53.10315,0.07755288,-2.846739
53.89561,0.172029,-2.800268
54.83614,0.2889811,-2.805162
55.81367,0.4298595,-2.851543
56.7388,0.5965694,-2.937379
57.58136,0.7381352,-3.07858
58.33232,0.8378984,-3.273677
59.03841,0.9132259,-3.486516
59.74875,0.9532154,-3.716422
60.41804,0.9604215,-3.950056
61.08591,0.9820086,-4.148488
61.74354,0.9978049,-4.306662
62.3562,1.016343,-4.381685
62.96034,1.07939,-4.347726
63.60208,1.163723,-4.259131
64.18831,1.228725,-4.164015
64.69907,1.309447,-4.073636
65.17175,1.394497,-3.999583
65.61137,1.439435,-3.962662
66.00977,1.487232,-3.95221
66.44386,1.558347,-3.968453
66.88221,1.633494,-4.015168
67.27505,1.700596,-4.070738
67.6028,1.745364,-4.115331
67.8962,1.784142,-4.133987
68.16881,1.844437,-4.129398
68.45336,1.854474,-4.099657
68.78091,1.929631,-3.970308
69.32666,2.030429,-3.815129
69.99776,2.124605,-3.680211
70.66343,2.210555,-3.553351
71.30633,2.334382,-3.457774
71.82706,2.470562,-3.39885
72.24771,2.613805,-3.33759
72.62418,2.779163,-3.28513
73.01515,3.020163,-3.245117
73.49107,3.279243,-3.210791
74.08559,3.538067,-3.195325
74.78929,3.767356,-3.211754
75.50417,3.982475,-3.263101
76.28504,4.215125,-3.373635
77.0018,4.437549,-3.572212
77.74356,4.613511,-3.838923
78.38296,4.736177,-4.191885
78.90905,4.812196,-4.591234
79.24667,4.790555,-4.956742
79.45139,4.704876,-5.250228
79.55387,4.575363,-5.494726
79.55257,4.391181,-5.689038
79.5381,4.223298,-5.833183
79.48787,4.073689,-5.920787
79.40214,3.953881,-5.932713
79.29593,3.866824,-5.903786
79.15069,3.803718,-5.890801
79.36211,3.792979,-6.038484
79.24877,3.80906,-6.370418
79.25862,3.865947,-6.542241
79.39631,3.877851,-6.630065
79.5692,3.900559,-6.75966
79.71334,3.93108,-6.901186
79.86439,3.952302,-7.013978
80.07797,3.97727,-7.102364
80.31966,4.031178,-7.194278
80.58033,4.09661,-7.286201
80.82038,4.168859,-7.376925
80.98618,4.231303,-7.474576
81.02537,4.254157,-7.566887
80.98034,4.265312,-7.612035
80.8852,4.270658,-7.623775
80.75959,4.293128,-7.616072
80.65257,4.334389,-7.606771
80.53194,4.380793,-7.616001
80.37482,4.420625,-7.61644
80.17548,4.460292,-7.616307
79.93987,4.497008,-7.59533
