Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
680,0,0,0,0.05224609,-0.04199219,1.001465,-0.2119141,0.1225586,-0.418457
681,0.125,-0.25,0.0625,0.06787109,-0.06201172,0.9936523,-0.2119141,0.1225586,-0.418457
685,0,0,0,0.06005859,-0.07373047,0.9975586,-0.2119141,0.1123047,-0.4365234
686,0,0.125,-0.0625,0.06787109,-0.09375,0.9897461,-0.2119141,0.1123047,-0.4365234
690,0,0,-0.125,0.04052734,-0.08154297,1.005371,-0.2119141,0.1123047,-0.4365234
691,0,0,0.0625,0.04833984,-0.07763672,0.9936523,-0.2119141,0.1123047,-0.4365234
695,0.0625,-0.125,0.0625,0.05615234,-0.08935547,0.9975586,-0.2119141,0.1123047,-0.4365234
696,0.125,-0.0625,-0.0625,0.05224609,-0.08544922,1.001465,-0.2119141,0.1123047,-0.4365234
700,-0.0625,-0.1875,0,0.05615234,-0.08544922,0.9936523,-0.2119141,0.1123047,-0.4365234
701,0.25,0.0625,0,0.05224609,-0.08154297,0.9897461,-0.2119141,0.1196289,-0.4311523
705,0.0625,0,0,0.05615234,-0.08154297,0.9975586,-0.2119141,0.1196289,-0.4311523
706,0.125,-0.125,0,0.04833984,-0.05810547,1.025391,-0.2119141,0.1196289,-0.4311523
710,0.3125,0.1875,0.1875,0.05615234,-0.06982422,0.9936523,-0.2143555,0.1171875,-0.4311523
711,0,-0.125,-0.125,0.04052734,-0.06982422,1.005371,-0.2143555,0.1171875,-0.4311523
715,0,0,0.0625,0.04833984,-0.09375,1.009277,-0.2143555,0.1171875,-0.4311523
716,0.125,0.1875,0.0625,0.06005859,-0.07763672,1.01709,-0.2167969,0.1147461,-0.4233398
720,0,0,0,0.07177734,-0.07373047,0.9975586,-0.2167969,0.1147461,-0.4233398
721,0,0.25,-0.125,0.05224609,-0.07763672,0.9858398,-0.2167969,0.1147461,-0.4233398
