Packet Number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
1899,-0.7492334,0.6740448,-0.1408007
1904,-0.7528371,0.6914334,-0.1549252
1909,-0.7460463,0.7262533,-0.1795918
1914,-0.7637173,0.7680719,-0.1974688
1919,-0.7952779,0.7889493,-0.2048198
1924,-0.8267418,0.7959105,-0.2015894
1929,-0.8299806,0.7856671,-0.1665651
1934,-0.822805,0.7753629,-0.141961
1939,-0.822755,0.7544065,-0.1383129
1944,-0.8332023,0.7369341,-0.1347574
1949,-0.8541123,0.7124821,-0.1277151
1954,-0.8506243,0.6844586,-0.1344799
1959,-0.8401834,0.6598901,-0.1482265
1964,-0.8332097,0.6458606,-0.1550788
1969,-0.8122926,0.6247838,-0.1722978
1974,-0.8088125,0.6002362,-0.1825973
1979,-0.8018668,0.5861616,-0.1964515
1984,-0.8227788,0.5757093,-0.1859917
1989,-0.8297096,0.5687798,-0.1754845
1994,-0.8261952,0.5688105,-0.17197
1999,-0.8261952,0.5688105,-0.17197
2004,-0.8158021,0.575696,-0.1894538
2009,-0.8159038,0.5930813,-0.2035671
2014,-0.8334652,0.6139805,-0.2108046
2019,-0.8650112,0.6313532,-0.2180993
2024,-0.8859949,0.6418303,-0.2147986
2029,-0.8860016,0.6453272,-0.2148257
2034,-0.8720332,0.6558449,-0.2148271
2039,-0.8405583,0.6664217,-0.2112272
2044,-0.8194593,0.6701086,-0.1901473
2051,-0.8123424,0.6702694,-0.1691233
2056,-0.8052468,0.6563905,-0.1549952
2061,-0.8051294,0.6425256,-0.1374108
2066,-0.8050355,0.628636,-0.1233236
2071,-0.7979881,0.6147045,-0.1161934
2076,-0.7805133,0.6077051,-0.1195492
2081,-0.7630522,0.5971863,-0.1263811
2086,-0.7456346,0.593618,-0.1402562
2091,-0.7352667,0.6039876,-0.1612526
2096,-0.7353884,0.6108468,-0.1822808
2101,-0.7459659,0.6282464,-0.1929422
2106,-0.7670382,0.645625,-0.2036659
2111,-0.7671912,0.6629692,-0.2247665
2116,-0.7637289,0.6804611,-0.224863
2121,-0.7567134,0.6910123,-0.2178965
2126,-0.746178,0.7015921,-0.2074101
2131,-0.7286553,0.7051659,-0.200331
2136,-0.700601,0.6982862,-0.1896245
2141,-0.6759607,0.6774694,-0.168368
2146,-0.6338971,0.6531113,-0.1574927
2151,-0.5812959,0.6182665,-0.1430229
2156,-0.539232,0.5833995,-0.1321404
2161,-0.5112345,0.5519438,-0.1353546
2166,-0.4902818,0.5239329,-0.1491225
2171,-0.4798752,0.5063589,-0.1734814
2176,-0.4834772,0.4957443,-0.2014298
2181,-0.4975715,0.495613,-0.2259703
2186,-0.5081611,0.4989959,-0.2470139
2191,-0.5117355,0.5129294,-0.2575832
2196,-0.4977786,0.5269492,-0.2575816
2201,-0.4663607,0.537483,-0.2644743
2206,-0.4418557,0.541064,-0.2573788
2212,-0.4173992,0.5516104,-0.2573018
2217,-0.3929758,0.5691388,-0.2607415
2222,-0.3686058,0.5936402,-0.2711907
2227,-0.3548139,0.6355833,-0.2887348
2232,-0.3446329,0.6914772,-0.3168236
2237,-0.3274952,0.7508939,-0.3448671
2242,-0.3173662,0.81033,-0.3694564
2247,-0.3141586,0.8592514,-0.387054
2252,-0.307247,0.8837541,-0.3870679
