Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
540,1.4375,5.75,-0.8125,-0.02001953,-0.03662109,1.012695,0.2177734,0.04101563,-0.4462891
544,1.125,6.125,-0.625,0.003417969,-0.05224609,1.012695,0.2177734,0.04101563,-0.4462891
545,1.25,6.125,-0.6875,-0.0078125,-0.05615234,0.9741211,0.2124023,0.03857422,-0.4462891
549,0.5625,6.5,-0.1875,0.003417969,-0.07568359,1.009277,0.2124023,0.03857422,-0.4462891
550,-0.0625,6.8125,-0.4375,0.003417969,-0.06005859,1.001465,0.2124023,0.03857422,-0.4462891
554,-0.5625,8.3125,-0.875,-0.00390625,-0.06787109,1.005371,0.2124023,0.03857422,-0.4462891
555,-1,7.5625,0.0625,0,-0.04052734,1.012695,0.2177734,0.04345703,-0.4414063
559,-0.6875,7.6875,0.25,-0.01611328,-0.06005859,1.001465,0.2177734,0.04345703,-0.4414063
560,0.5,7.0625,0,-0.00390625,-0.04443359,0.9819336,0.2177734,0.04345703,-0.4414063
564,1.5625,6.125,0.1875,0.003417969,-0.06005859,0.9780273,0.2202148,0.03369141,-0.4462891
565,1.75,5.375,0,-0.01220703,-0.04443359,1.009277,0.2202148,0.03369141,-0.4462891
569,1.6875,4.875,0,0.003417969,-0.04443359,0.9819336,0.2202148,0.03369141,-0.4462891
570,1.4375,4.875,0,-0.01611328,-0.05615234,0.9897461,0.2202148,0.03369141,-0.4462891
574,1.75,4.5625,-0.25,-0.01611328,-0.06787109,0.9780273,0.2202148,0.03369141,-0.4462891
575,2.125,4.3125,-0.5,-0.00390625,-0.06787109,0.9936523,0.2202148,0.03369141,-0.4462891
579,2.375,3.9375,-0.3125,-0.01220703,-0.05615234,0.9819336,0.2202148,0.03369141,-0.4462891
580,2.375,4,-0.0625,-0.01220703,-0.06396484,0.9741211,0.2177734,0.03369141,-0.4438477
584,2.125,4.0625,0,-0.01220703,-0.05224609,0.9936523,0.2177734,0.03369141,-0.4438477
585,2.125,4,-0.25,-0.02392578,-0.07177734,1.016602,0.2177734,0.03369141,-0.4438477
589,2.125,3.875,-0.0625,-0.03173828,-0.03271484,1.001465,0.2124023,0.02880859,-0.4360352
590,1.9375,3.8125,-0.125,-0.01611328,-0.06005859,1.001465,0.2124023,0.02880859,-0.4360352
594,2.3125,3.8125,0.1875,-0.01611328,-0.07177734,1.001465,0.2124023,0.02880859,-0.4360352
596,2.4375,4.0625,0.625,-0.01220703,-0.05224609,0.9858398,0.2124023,0.02880859,-0.4360352
600,1.75,3.9375,0.625,0.01123047,-0.06005859,0.9858398,0.2148438,0.04101563,-0.4414063
601,1.125,3.8125,0.4375,0.01904297,-0.07568359,0.9936523,0.2148438,0.04101563,-0.4414063
605,0.9375,3.5625,0.5625,0.003417969,-0.07568359,0.9780273,0.2148438,0.04101563,-0.4414063
606,0.0625,2.5625,0.75,-0.00390625,-0.04443359,1.009277,0.2124023,0.03369141,-0.4414063
610,-0.0625,1.6875,0.625,0.01904297,-0.06005859,0.9936523,0.2124023,0.03369141,-0.4414063
611,-0.0625,0.75,0.3125,0,-0.04443359,1.001465,0.2124023,0.03369141,-0.4414063
615,0.8125,0.0625,0.25,-0.01611328,-0.06005859,0.9858398,0.2124023,0.03369141,-0.4414063
616,1.25,-0.125,0,-0.02392578,-0.04443359,1.016602,0.2124023,0.03369141,-0.4414063
620,1.5625,-0.4375,-0.125,-0.02783203,-0.04833984,1.005371,0.2124023,0.03369141,-0.4414063
621,2.3125,-1,-0.125,-0.02001953,-0.03271484,0.9897461,0.2124023,0.03369141,-0.4414063
625,2.875,-0.9375,-0.5,-0.0078125,-0.02490234,0.9819336,0.2148438,0.03369141,-0.4414063
626,3.375,-1.1875,-0.8125,0,-0.03271484,0.9858398,0.2148438,0.03369141,-0.4414063
630,3.5625,-1,-0.625,0.003417969,-0.05224609,1.012695,0.2148438,0.03369141,-0.4414063
